qbuy=2344, qsell=1728, result=-1.036
time     oper price  sellorderid q   qd  qr  canceltime
11:57:30 s    5.172  36055961773 2   0   2   13:00:03
11:57:28 b    5.17   36055961305 2   2   0   03:00:00
11:22:43 s    5.168  36054708919 40  40  0   03:00:00
11:22:42 s    5.17   36054707363 2   2   0   03:00:00
11:22:41 b    5.164  36054706343 40  40  0   03:00:00
11:22:40 b    5.164  36054705907 2   2   0   03:00:00
11:16:27 s    5.17   36054427603 2   2   0   03:00:00
11:16:25 b    5.17   36054426506 2   2   0   03:00:00
11:16:12 s    5.174  36054418310 40  40  0   03:00:00
11:16:11 b    5.172  36054417445 40  40  0   03:00:00
11:15:13 s    5.178  36054367879 2   0   2   13:00:03
11:15:12 b    5.176  36054366911 2   2   0   03:00:00
11:15:11 s    5.178  36054366656 40  40  0   03:00:00
11:15:09 b    5.174  36054364580 40  40  0   03:00:00
11:13:10 s    5.17   36054235944 2   2   0   03:00:00
11:13:10 s    5.172  36054235861 40  40  0   03:00:00
11:13:09 b    5.832  36054235007 2   0   2   11:13:09
11:13:08 b    5.832  36054234781 40  0   40  11:13:08
11:09:52 s    5.17   36054073162 2   2   0   03:00:00
11:09:51 b    5.164  36054071622 2   2   0   03:00:00
11:09:45 s    5.168  36054068340 40  40  0   03:00:00
11:09:44 b    5.168  36054067381 40  40  0   03:00:00
11:09:38 s    5.17   36054059019 2   2   0   03:00:00
11:09:37 b    5.17   36054058077 2   2   0   03:00:00
11:09:36 s    5.172  36054057391 40  40  0   03:00:00
11:09:34 b    5.168  36054056125 40  40  0   03:00:00
11:09:28 s    5.17   36054048587 2   2   0   03:00:00
11:09:27 b    5.17   36054047984 2   2   0   03:00:00
11:09:20 s    5.17   36054044347 2   2   0   03:00:00
11:09:19 b    5.17   36054043701 2   2   0   03:00:00
11:09:06 s    5.168  36054035394 40  40  0   03:00:00
11:09:05 s    5.17   36054034675 2   2   0   03:00:00
11:09:05 b    5.168  36054034377 40  40  0   03:00:00
11:09:04 b    5.17   36054034030 2   2   0   03:00:00
11:08:37 s    5.174  36054010903 40  40  0   03:00:00
11:08:36 b    5.17   36054009881 40  40  0   03:00:00
11:08:34 s    5.17   36054009291 2   2   0   03:00:00
11:08:33 b    5.17   36054008415 2   2   0   03:00:00
11:07:46 s    5.17   36053961543 2   2   0   03:00:00
11:07:45 b    5.164  36053960564 2   2   0   03:00:00
11:05:55 s    5.16   36053878480 2   2   0   03:00:00
11:05:54 b    5.16   36053877474 2   2   0   03:00:00
11:02:08 s    5.17   36053659757 2   2   0   03:00:00
11:02:07 b    5.164  36053658202 2   2   0   03:00:00
11:01:53 s    5.168  36053646058 40  40  0   03:00:00
11:01:52 b    5.166  36053644815 40  40  0   03:00:00
10:48:06 s    5.172  36052894646 40  40  0   03:00:00
10:48:04 b    5.168  36052892947 40  40  0   03:00:00
10:47:58 s    5.17   36052884875 2   2   0   03:00:00
10:47:56 b    5.17   36052883091 2   2   0   03:00:00
10:47:36 s    5.168  36052858622 40  40  0   03:00:00
10:47:34 b    5.166  36052856519 40  40  0   03:00:00
10:47:16 s    5.17   36052832323 2   2   0   03:00:00
10:47:15 b    5.164  36052830700 2   2   0   03:00:00
10:42:21 s    5.176  36052513844 2   2   0   03:00:00
10:42:20 s    5.174  36052513500 40  40  0   03:00:00
10:42:19 b    5.17   36052512371 2   2   0   03:00:00
10:42:19 b    5.172  36052511886 40  40  0   03:00:00
10:41:45 s    5.178  36052473831 40  40  0   03:00:00
10:41:43 b    5.174  36052471852 40  40  0   03:00:00
10:40:46 s    5.18   36052428471 2   2   0   03:00:00
10:40:44 b    5.176  36052427485 2   2   0   03:00:00
10:39:46 s    5.184  36052372033 2   0   2   13:00:03
10:39:45 b    5.18   36052370931 2   2   0   03:00:00
10:39:43 s    5.184  36052369994 40  0   40  18:39:35
10:39:42 b    5.18   36052368427 40  40  0   03:00:00
10:33:04 s    5.18   36051958163 2   2   0   03:00:00
10:33:03 s    5.178  36051955688 40  40  0   03:00:00
10:33:03 b    5.832  36051955514 2   0   2   10:33:03
10:33:01 b    5.832  36051952248 40  0   40  10:33:01
10:31:44 s    5.17   36051843267 2   2   0   03:00:00
10:31:43 b    5.17   36051841918 2   2   0   03:00:00
10:31:00 s    5.17   36051781367 2   2   0   03:00:00
10:30:58 b    5.164  36051779724 2   2   0   03:00:00
10:30:07 s    5.174  36051707213 40  40  0   03:00:00
10:30:06 b    5.17   36051704947 40  40  0   03:00:00
10:30:05 s    5.17   36051703335 2   2   0   03:00:00
10:30:03 b    5.17   36051700473 2   2   0   03:00:00
10:28:44 s    5.178  36051613422 40  40  0   03:00:00
10:28:42 b    5.176  36051612193 40  40  0   03:00:00
10:28:38 s    5.18   36051607539 2   2   0   03:00:00
10:28:36 b    5.176  36051606348 2   2   0   03:00:00
10:23:53 s    5.184  36051280747 40  0   40  18:39:35
